counter question1 question2 proximity
138 31156393 218384 0.0267569371404641
139 46234919 2741066 0.7720848075706294
140 32227757 3437897 0.5848836280376032
141 41261694 34397698 0.962620630376872
143 47921663 43911369 0.9432407027854001
144 8814021 2761823 0.39336498299864747
145 15076413 15068870 0.988802671027421
146 41248640 25706216 0.4429279500931372
147 34262115 218384 0.3592422743599264
148 24726896 1990817 0.7761099642471168
149 6638959 4285855 0.8717857593964395
150 49838742 504103 0.6731229695465215
151 5531603 4360035 0.8076763929034931
153 13982220 10699492 0.9429866059819219
154 27251517 5229809 0.9869536905381795
155 15428414 525212 0.933471129627823
156 275711 473282 0.9398887333939743
157 4764266 443010 0.9813832308699536
158 36357866 3144610 0.94661005275381
159 45663595 40353638 0.4693720337024848
160 21318650 21297979 0.48165533400340704
161 31498398 17874717 0.998601864842836
162 5488072 26446599 0.42909963094862097
163 6782276 3293353 0.9809796502130651
164 4385749 4389005 0.7503919042118254
165 3990319 3571267 0.8000631380581108
166 45410855 26829844 0.87554139539209
167 48732427 17063436 0.8738847711381866
168 23737528 779519 0.9552265929001744
169 29862577 20223487 0.8442875282549206
170 10969803 1299837 0.8289850381782463
171 37020576 7930351 0.9999007470371735
172 29642464 11747833 0.7145716695773533
173 33115454 3106452 0.3905909028819042
174 15603298 7709041 0.9619634765811425
175 9864669 2227423 0.47326058453411346
176 24001048 40480 0.04400374807100489
177 5331827 513832 0.5572234579905204
178 27700886 12020835 0.5554886993703655
179 47396811 11880924 0.8239084761204387
180 21164917 1149703 0.4119984747960688
181 31798930 26931565 0.9416703160592587
182 10602087 4937402 0.9907009028292134
183 30648075 17619724 0.8689953850767639
185 36068250 32719860 0.996746766222057
186 30829006 2909451 0.5940150582977198
187 23395314 17755893 0.09370836548224472
188 40257219 6800590 0.8798497906763175
189 14042187 1604319 0.4127820079485248
190 38812863 29987422 0.5719821470775805
191 40540915 2056221 0.817457644921288
192 9991701 3297867 0.7405784584468499
193 14600806 1383797 0.9856267008923381
194 17369522 11578123 0.7083647143521329
195 29648144 8880088 0.955054854495152
196 31703423 9195752 0.7947099564244973
197 6087876 1842972 0.957637974368622
198 3227040 6113746 0.9693109823160198
199 14378187 7928654 0.9540922102949742
200 16281232 1610045 0.9294333926180007
201 39312962 3395286 0.9352574094548841
202 17007451 5667764 0.9965449939002606
203 3920069 2633112 0.9368031076572809
204 44352360 44121813 0.5006468721030433
205 13587006 60160 0.965189225540182
206 22635188 2086759 0.9827461123841872
207 13583521 80476 0.32729833904888483
208 3048515 2277430 0.8586845078199686
209 35748101 29758774 0.4370038774078914
210 33457500 2770321 0.18231380921783275
211 16560666 13744565 0.6881533241866925
212 2857497 2808535 0.9973985700511412
213 36702229 26359326 0.9117104319891761
214 2359919 1429172 0.7737383391585372
215 14128276 9682942 0.5435994586229237
216 2834355 37026 0.9873814404290192
217 42554845 10486375 0.9911028026387118
218 49738153 11235827 0.9690265936660336
219 15142453 390181 0.8959859853323294
220 19964652 129178 0.8877404371673282
221 24996093 2851938 0.5390542720771432
222 6506605 140131 0.846569591651451
223 4588334 2120255 0.9846028150193676
224 32569775 24689255 0.7348910126325066
225 13679112 6792197 0.9923462437313142
226 12987135 11810716 0.9161175529927509
227 34172281 2340406 0.7892469065175072
228 21362680 20797012 0.6212020940634962
229 9553217 259140 0.5221598389688848
230 48515979 10011758 0.9244928443499222
232 13931962 9824053 0.8110538094578603
233 6694455 2457955 0.8246024651384886
234 47250269 25706216 0.06408752215306003
235 19590262 1450991 0.9957906398251887
236 37475865 2674021 0.9803504959709627
237 7428383 7392296 0.6101661708639263
238 5414600 5003142 0.7377861438951434
239 50287483 494869 0.8125568529626733
240 2031759 995255 0.379788420986627
241 17007450 9922543 0.9617464858153874
242 40395516 18198176 0.703990094550401
243 17937841 2422468 0.8519737048302697
245 22735186 17515096 0.5756875552674684
246 15619629 18384930 0.9989719716632568
247 6513808 2225737 0.8776537060145654
248 22458042 3006150 0.997458673675676
249 20616015 1104975 0.6206082484765186
250 37640772 12589274 0.9557662342475114
251 20000628 5402925 0.7648680698354513
252 50547009 9389503 0.735557647902262
253 2977075 10257981 0.9474744436162503
254 12489473 11922418 0.9634450258064704
255 11660116 13426142 0.8332303941851664
256 44434693 13100019 0.9234758355148801
257 47652603 218384 0.1344625887275611
258 41985387 10473254 0.6757772237488512
259 47381522 18686199 0.858694673497986
260 6682724 10796160 0.9962360853830717
261 35490780 21522341 0.9793239675950218
262 41514884 7115445 0.8560406168096896
263 23290189 9029367 0.981012762295036
264 2849529 1626901 0.9808464262531021
265 21333728 779519 0.974637953312288
267 49322661 38527429 0.8919961349575042
268 18546770 9594753 0.9463235857142629
269 44404531 21859099 0.7469480709532859
270 33838432 24963718 0.9935183536027039
271 2212913 2034180 0.49981284802059595
272 36280750 5923817 0.9168562337765497
273 49664741 34910841 0.9503129865049457
274 8661823 1365793 0.9506710234819259
275 15031115 12933113 0.8959333223596869
276 32463835 10796160 0.2668521574628619
277 29801754 25706216 0.08353922220826349
278 16046242 13776576 0.6613652011495803
279 31529112 13020658 0.7586803200391271
280 37136393 26446599 0.8594339298873019
281 20623778 327544 0.7830084049601662
282 15161271 2422468 0.8578063575909879
283 47294494 407255 0.6702617928776611
284 23869254 7274076 0.7379361881121332
285 19886227 5407250 0.17398359307962943
286 19706785 17840238 0.7201367351412831
287 32535223 218384 0.1151088091480933
288 8459944 1407893 0.9779547835785697
289 32885797 19672427 0.8841264505930811
290 45041343 10056729 0.610305230877222
291 14429107 160970 0.8207818589733964
292 42325414 1168345 0.9820263093469479
293 4469717 388461 0.939252535685078
294 11621750 716597 0.8712583074200828
295 11345629 1058959 0.8393312214221514
296 29956605 5616898 0.9923762881570096
297 26199587 14150628 0.8242383218043675
298 35172897 25138587 0.9159098849649762
299 12993764 7068503 0.9099497054131266
300 29496120 33766647 0.824710336031805
301 10378258 7089640 0.9290510042300157
302 5887471 5886935 0.9411049446318625
303 18032172 971954 0.5617067942876597
304 16092068 2019362 0.9024467620080342
305 30781262 34413 0.11425613392120446
306 15592454 513832 0.4946537929479467
307 30932366 189559 0.9685641877574341
308 7137395 4540820 0.9500702103738589
309 46906227 13569542 0.967056703021943
310 13725478 2546078 0.9871813183377794
311 20389114 752521 0.8244273077892107
312 15619332 95389 0.8951180757059307
313 9146224 122105 0.8204448069928907
314 21369734 513832 0.042029792793786915
315 6723281 995918 0.9194636576398376
316 29029849 25055392 0.9601406245277379
317 31965928 17191575 0.9385817861926007
318 30498991 5840866 0.931483188618903
319 23249331 10382929 0.9585358188154735
320 34104021 14828681 0.5748670884586912
321 4691962 3421486 0.8476259645206139
322 23053378 366237 0.9342208224319164
323 38515525 24440274 0.6755700239768171
324 11401468 12009285 0.8919232279715026
325 12234903 5713142 0.9554067269930225
326 9123272 5853167 0.8298901898489036
327 16585589 2942788 0.5522725824953412
328 14355712 2059229 0.6773370485062465
329 29906659 28180915 0.9377751853703419
330 22461470 1128723 0.8894941477602405
331 35167196 328249 0.49808662959202205
332 1330901 211143 0.8817557028512922
333 8819842 2808535 0.8536478819842769
334 17810480 5730815 0.998930171974461
335 47613802 218384 0.14779920834784652
336 15359147 1677497 0.7262491236188743
337 36601347 22150722 0.9695942266689601
338 3512575 13426142 0.9404356906414766
339 33990529 13913174 0.8273545688575942
340 40084636 35758857 0.9322451592233325
341 40339165 1293819 0.8961154893438595
342 3165701 3381322 0.8885305617725853
343 13440932 5463781 0.8288407478276559
344 2705096 473282 0.8679665701354405
345 25997512 3485347 0.8685507737182628
346 13554507 12448465 0.9695275822239885
347 25389880 14602062 0.9492419690071184
348 4841559 4105331 0.022101024246484725
349 49801143 11164756 0.9525833529466463
350 20560899 4246351 0.9242642347075003
352 48816904 218384 0.0597331523824033
353 20871476 4685563 0.8021024591725499
354 15719446 8914878 0.8318512488193439
355 19984040 2944822 0.5801273173222408
356 20282027 2223386 0.9536097285926574
357 34069129 3059333 0.9198570433046998
358 5577391 217065 0.8904706083177751
359 27466389 8819842 0.540547970953478
360 35752880 3930181 0.9591110538911336
361 23197525 218384 0.008583194556861377
362 30299036 10896151 0.9719840191090341
363 20348061 6157835 0.1337229954638568
364 34422365 525212 0.8206150748586941
365 2258676 615181 0.9681828624693337
366 30230154 19269714 0.6546950911381445
367 24341368 1939656 0.895147287885271
368 45884705 12209300 0.7515937847348996
369 11045526 1555262 0.9886889049737596
370 29877733 8710619 0.7089264602907691
371 4045682 1821510 0.22126691819372002
372 14898224 204784 0.7967704782261561
374 17180237 6716442 0.9566981512230067
375 28643629 23739937 0.9716787219395859
376 9305632 15844443 0.895992603839638
377 8623709 1812244 0.7333701539226279
378 2255500 1235179 0.6466685181905166
379 6864834 420791 0.9718456238793701
380 12805115 30571 0.9707202094415126
381 26054138 26020872 0.9480501864434909
382 45827526 2979383 0.09917883263127654
383 38152245 6816951 0.9423768668784399
384 25898849 21858482 0.7531493509766793
385 15045865 285793 0.671015814364417
386 14485594 500637 0.9814586634072435
387 45083186 1868333 0.9532680648803401
388 18657160 3584113 0.9481393174852504
390 25565707 8579657 0.9227990007929209
391 7546849 3658721 0.9975068370844625
392 16781620 1196586 0.99182260131791
393 8018538 513832 0.9452846029723788
395 40327713 24224828 0.7425015330281304
396 28271203 4028059 0.6550549435277473
397 7829211 804951 0.7895366519277961
398 9552218 1881922 0.7571156351328825
399 49281251 6335130 0.3133169014271121
400 1886995 11198486 0.5900432309720834
401 8375229 1686699 0.8797471256817057
402 45695698 218384 0.15046120699131424
403 35949063 8781022 0.8994484909340297
404 13719591 2750216 0.4682907319381251
405 49436368 12763983 0.7959522220956905
406 36432397 513832 0.808151393458129
407 31967813 19366332 0.8370824630065177
408 32583049 10516472 0.5726699421265394
409 6927524 1532461 0.8786652062670257
410 30404297 32010172 0.6054932362585118
411 43619566 457629 0.4592720823572828
412 14412252 2902458 0.6305458390484628
413 26489122 7987395 0.9257936765984784
414 26256812 6850611 0.4706805389064908
416 37865750 218384 0.029661617413792963
418 43171331 70324 0.9951990631287152
419 33703618 423627 0.8941248570923882
420 5682672 1314208 0.9541635667268132
421 21408942 13165806 0.7680701320149088
422 31639343 541487 0.9883187745870539
423 13924808 468789 0.8255397764061448
424 11902104 2787338 0.8180396805916292
425 30227921 17209260 0.8479633883487065
426 27522741 25483854 0.9354954988112556
427 6571362 405364 0.9358856993505934
428 38433723 21522341 0.9277272529377485
429 7739251 6615516 0.9242589302696769
430 40449848 507602 0.9339942770353755
432 35298372 32968527 0.7956595356850747
435 29400780 29380427 0.9980144576777918
436 13174756 1625234 0.9915123335979829
438 28555582 5243233 0.47911661596960303
439 20294200 11579953 0.9936546627262899
440 2117689 710362 0.9906118188731338
441 13987708 373833 0.4172704583520184
442 5749217 1264849 0.9344070841878925
443 5414920 2504959 0.7069516363742554
444 18825208 5349750 0.70601150131694
445 6516478 4279435 0.9973422745580695
446 15733184 8710619 0.8175107860772337
447 13673600 4201860 0.9848093008230655
448 9195752 316352 0.7827474714249952
449 50252056 33942614 0.9346815442202008
450 17290295 5649248 0.8360270913932027
451 32944940 4691132 0.7026344728421232
452 17811022 12486977 0.9069797982446617
453 27570295 22561614 0.6119853695227062
454 2378169 204784 0.9584582876911859
455 16625220 714108 0.9461367347009081
456 33489464 13895867 0.06455881230745747
457 30813335 2863674 0.9599462764897587
458 24335343 70689 0.9898580634724091
459 36766068 7218760 0.8439107614372008
460 15967722 2068804 0.9786807592045238
461 6609754 187453 0.8995735876412663
462 7312363 512124 0.9413779920911535
463 40123729 17834145 0.7081759348409579
464 50200406 10382929 0.95077175466851
465 41039070 218384 0.02057512603546887
466 27103651 14213723 0.4809176453903544
467 29172164 5061721 0.651658143979514
468 585804 62289 0.6550507485026432
469 49340617 33505796 0.7456375720216089
471 1455138 857420 0.9981309342123834
472 25150597 2223386 0.9785569334542585
473 24135937 6997142 0.8420104772530722
474 32854461 27870136 0.9918628615182543
475 3910324 4732544 0.9603073927072797
476 41908321 10578984 0.8987354124152512
477 17759142 1864076 0.5393800362380495
478 1198911 11113974 0.9862696495730727
479 25180640 9590885 0.8914832859669399
480 36927176 24491260 0.7850320588643809
481 20677249 150192 0.9460688252753886
482 41045880 490557 0.8725511322341095
483 35875162 22732722 0.513633123921291
484 18757851 3058198 0.9345563968950845
485 28250507 10143998 0.7369943346171083
486 34108608 5865069 0.6535130884446955
487 15794768 12793248 0.5941564282864487
488 35312147 5467038 0.036968818076759405
490 46428565 38123151 0.9733428721635955
492 31136247 18813875 0.9294723042014159
494 7097886 1586223 0.8105535700248632
495 25184589 6712587 0.809158607552778
496 8998553 8921523 0.5164659336868977
497 20763583 18349517 0.9982790689856261
498 30397186 743402 0.6640490415448124
499 44989205 30679878 0.9201780836268297
500 30806116 26058854 0.8874498435866324
501 39207001 18041568 0.7902532376386212
502 499437 27578 0.9705938581544412
503 21313846 2550123 0.6856094288790365
504 39597678 2309970 0.9603409616096823
505 36180574 694287 0.837021788188852
506 17068190 2942299 0.425807120481652
507 16434870 3422673 0.6714321822543481
508 17623217 2367398 0.7836042153695372
509 13468720 3130311 0.6651293071183806
510 3131136 3130311 0.9126092097298482
511 43810315 28607191 0.8969090135518084
512 21286723 3743395 0.8495188987485566
513 30148887 6115896 0.7550227863349868
514 22461192 1548487 0.9283137067845445
515 48329900 22527149 0.9914583347055642
516 11312155 1208442 0.8867551796223236
517 18733582 7654151 0.9924648502701856
518 18205493 48088 0.7821550543962602
519 33177719 6219263 0.7733495451231752
520 3246137 2745265 0.8664069798818252
521 6248495 2161054 0.4024575537146176
522 29325244 409784 0.2500477272567293
523 20836369 12496038 0.8906088361972683
524 26257530 2353141 0.914742341526649
525 11323962 5234147 0.9184768179849789
526 17769337 85190 0.586279256007999
527 17112614 17108142 0.9824850725700297
528 42294615 5947207 0.8379694109044297
529 28839821 28752489 0.5070047519145933
530 3144673 869033 0.7080309020082963
531 14932034 2883140 0.647988490357853
532 40867801 30269011 0.9331142647216726
533 43803355 17972380 0.8840476116269191
534 23839921 17140847 0.8711708746169753
535 15711180 1092219 0.6885579226274512
536 20761590 4112686 0.8340905875428168
537 7349883 1199646 0.49809313996313515
538 15794767 11559954 0.8178428684303322
539 12726199 3170887 0.2825151407232537
542 29316544 29315688 0.9985781104846195
543 21664300 12954193 0.835524404588424
544 24843040 8579657 0.9954236879731365
545 6060129 5837826 0.796348093609579
546 29637064 153724 0.9906555011657409
547 35106196 23318109 0.7006058530692457
548 28693548 8113752 0.9927545547337744
549 15210858 194349 0.4258127499308408
550 25845280 850878 0.8964033171686017
551 34010203 21887358 0.965656780759546
553 19204793 3768554 0.9542653828812762
555 7744904 7744827 0.7462636585785036
556 15963549 12772443 0.9250806728484526
557 50013974 6389827 0.3654615108084474
558 36197302 34768792 0.8099854629271555
559 1089388 469695 0.6334602762338485
